# ungefähr 20 % der Original-Daten 
# Quelle: https://www.kaggle.com/datasets/wspirat/poland-used-cars-offers/data
# nachbearbeitet
Marke,Modell,Preis [Zloty],Kilometerstand [km],Getriebe,Hubraum [cm3],Kraftstoff,Stadt,Region,Jahr,Alter
volkswagen,Volkswagen Passat 2.0 TDI BMT Highline DSG,59900.0,102619,Automatik,1498.0,Benzin,Zduńska Wola,Łódzkie,2019,5
toyota,Toyota Corolla,96000.0,44600,Schaltwagen,1496.0,Benzin,Bytom,Śląskie,2022,2
volkswagen,Volkswagen Caravelle,59990.0,277054,Automatik,1968.0,Diesel,Bielsko-Biała,Śląskie,2011,13
mini,MINI John Cooper Works,69800.0,122310,Automatik,1598.0,Benzin,Poznań,Wielkopolskie,2013,11
peugeot,Peugeot 5008 1.6 HDi Style,27000.0,229000,Schaltwagen,1560.0,Diesel,Łęczna,Lubelskie,2014,10
opel,Opel Zafira 1.7 CDTI Edition,18900.0,140000,Schaltwagen,1686.0,Diesel,Ostrowiec Świętokrzyski,Świętokrzyskie,2008,16
audi,Audi A6 2.7 TDI Quattro Tiptr,32000.0,150000,Automatik,1798.0,Benzin,Przysieki,Podkarpackie,2008,16
mercedes-benz,Mercedes-Benz Klasa E 350 BlueTEC 4-Matic Avantgarde,114900.0,271000,Automatik,2987.0,Diesel,Bydgoszcz,Kujawsko-pomorskie,2012,12
bmw,BMW Seria 5 550i xDrive Sport-Aut Luxury Line,105000.0,67000,Automatik,1998.0,hybrid,Głogów,Dolnośląskie,2017,7
toyota,Toyota Aygo 1.0 VVT-i X,34999.0,80000,Schaltwagen,1995.0,Diesel,Bełchatów,Łódzkie,2016,8
ford,Ford Fiesta 1.25 Trend,19900.0,91411,Schaltwagen,1388.0,Benzin,Ręczno,Łódzkie,2012,12
opel,Opel Astra Twin Top 1.9 CDTI Cosmo,18999.0,143000,Schaltwagen,1364.0,Benzin+LPG,Tarnobrzeg,Podkarpackie,2009,15
ford,Ford Mondeo 2.0 TDCi Start-Stopp PowerShift-Aut Titanium,69900.0,36400,Automatik,1997.0,Diesel,Łomianki,Mazowieckie,2019,5
mercedes-benz,Mercedes-Benz GLC 250 4-Matic,125500.0,150000,Automatik,2987.0,Diesel,Szczecin,Zachodniopomorskie,2015,9
toyota,Toyota Corolla,89999.0,153857,Automatik,2487.0,hybrid,Warszawa,Mazowieckie,2019,5
land-rover,Land Rover Discovery V 3.0 D250 mHEV R-Dynamic SE,447220.0,15,Automatik,3000.0,Diesel,Długołęka,Dolnośląskie,2022,2
opel,Opel Insignia 2.0 CDTI Cosmo,24900.0,197149,Schaltwagen,1796.0,Benzin+LPG,Tarnowskie Góry,Śląskie,2011,13
opel,Opel Agila,4870.0,259841,Schaltwagen,1910.0,Diesel,Kaźmierz,Wielkopolskie,2005,19
peugeot,Peugeot 308,60800.0,160000,Automatik,1997.0,Diesel,Krotoszyn,Wielkopolskie,2019,5
bmw,BMW Seria 5 530d Touring Sport-Aut Modern Line,58900.0,182000,Automatik,2993.0,Diesel,Legnica,Dolnośląskie,2014,10
mitsubishi,Mitsubishi Colt 1.3 Instyle,11900.0,117000,Schaltwagen,1590.0,Benzin,Mysłowice,Śląskie,2011,13
toyota,Toyota Highlander,286900.0,94625,Automatik,1798.0,hybrid,Wrocław,Dolnośląskie,2020,4
seat,Seat Ibiza,82900.0,9000,Schaltwagen,1498.0,Benzin,Kraków,Małopolskie,2021,3
volvo,Volvo C70,18900.0,379000,Automatik,2319.0,Benzin+LPG,Zawiercie,Śląskie,1997,27
ford,Ford Fiesta 1.0 EcoBoost Titanium,52500.0,96000,Schaltwagen,998.0,Benzin,Nowe Skalmierzyce,Wielkopolskie,2017,7
ford,Ford Focus 1.0 EcoBoost ST-Line Business,22900.0,6015,Schaltwagen,999.0,Benzin,Kętrzyn,Warmińsko-mazurskie,2022,2
toyota,Toyota Corolla 1.8 Hybrid Comfort,127800.0,64809,Automatik,1798.0,hybrid,Zabrze,Śląskie,2021,3
peugeot,Peugeot Partner Tepee 120 VTi Family,23900.0,307000,Schaltwagen,1560.0,Diesel,Lublin,Lubelskie,2013,11
hyundai,Hyundai Tucson 1.6 T-GDi Executive 2WD,138900.0,25000,Schaltwagen,1498.0,Benzin,Płock,Mazowieckie,2021,3
volvo,Volvo XC 60 T5 GPF AWD R-Design,89900.0,209000,Automatik,1969.0,Diesel,Tychy,Śląskie,2018,6
ford,Ford Fiesta,17900.0,182000,Schaltwagen,1560.0,Diesel,Lubań,Dolnośląskie,2013,11
opel,Opel Astra,23900.0,242112,Schaltwagen,1686.0,Diesel,Łagów,Świętokrzyskie,2011,13
alfa-romeo,Alfa Romeo Giulietta 1.4 TB MultiAir Distinctive TCT,38880.0,255000,Automatik,1368.0,Benzin,Sopot,Pomorskie,2012,12
mercedes-benz,Mercedes-Benz Klasa C 220 T CDI DPF Automatik,31999.0,201000,Automatik,3498.0,Benzin,Chełmża,Kujawsko-pomorskie,2005,19
honda,Honda Jazz 1.4 S,19900.0,164550,Schaltwagen,1339.0,Benzin,Tychy,Śląskie,2007,17
skoda,Skoda Octavia 1.5 TSI ACT Style,101900.0,728,Schaltwagen,1498.0,Benzin,Słupsk,Pomorskie,2022,2
volkswagen,Volkswagen Tiguan 2.0 TDI SCR DSG R-Line,76000.0,137000,Automatik,1968.0,Diesel,Warszawa,Mazowieckie,2019,5
volvo,Volvo V70 2.4 T,15900.0,220000,Schaltwagen,1948.0,Benzin,Oleśnica,Dolnośląskie,1997,27
ford,Ford Fiesta,46900.0,81791,Schaltwagen,1997.0,Diesel,Radziejowice,Mazowieckie,2019,5
mercedes-benz,Mercedes-Benz Klasa R,18900.0,280838,Automatik,5461.0,Benzin,Karczew,Mazowieckie,2006,18
volvo,Volvo V40 T3 Drive-E Ocean Race,80000.0,49376,Automatik,1969.0,Diesel,Cewlino,Zachodniopomorskie,2019,5
kia,Kia Sportage 2.0 XL,57900.0,209000,Automatik,1995.0,Diesel,Warszawa,Mazowieckie,2014,10
mercedes-benz,Mercedes-Benz Klasa C 300 CDI BlueEff 4-Matic Avantgarde,49000.0,225500,Automatik,2143.0,Diesel,Jabłonna,Mazowieckie,2010,14
opel,Opel Astra V 1.6 CDTI Dynamic S&S,41900.0,129000,Schaltwagen,1598.0,Diesel,Świdnica,Dolnośląskie,2015,9
honda,Honda Civic 1.8 Comfort,29000.0,115899,Schaltwagen,1597.0,Diesel,Nałęczów,Lubelskie,2014,10
opel,Opel Insignia 2.0 CDTI Sports Tourer ecoFLEXStart/Stop,37900.0,118181,Schaltwagen,1362.0,Benzin,Rybnik,Śląskie,2012,12
alfa-romeo,Alfa Romeo Brera 2.2JTS Selespeed,39999.0,300000,Automatik,2959.0,Benzin,Warszawa,Mazowieckie,2006,18
ford,Ford Kuga,147477.0,8837,Schaltwagen,999.0,Benzin,Szczecinek,Zachodniopomorskie,2022,2
ford,Ford Focus 1.5 TDCi SYNC Edition,46900.0,40760,Schaltwagen,998.0,Benzin,Warszawa,Mazowieckie,2018,6
mercedes-benz,Mercedes-Benz Klasa E,149900.0,89500,Automatik,2143.0,Diesel,Moryń,Zachodniopomorskie,2019,5
opel,Opel Insignia Sports Tourer 2.0 Diesel Exclusive,89990.0,130000,Automatik,1598.0,Diesel,Krotoszyn,Wielkopolskie,2017,7
toyota,Toyota Auris 1.33 VVT-i Active,38400.0,188000,Schaltwagen,1598.0,Benzin,Nowy Tomyśl,Wielkopolskie,2010,14
opel,Opel Corsa,5900.0,130413,Automatik,2496.0,Benzin,Legnica,Dolnośląskie,1997,27
nissan,Nissan Juke,19900.0,12000,Schaltwagen,1600.0,Benzin,Ostrów Wielkopolski,Wielkopolskie,2017,7
rover,Rover 75,3500.0,271000,Schaltwagen,1951.0,Diesel,Wieluń,Łódzkie,2001,23
volkswagen,Volkswagen Eos 2.0 TDI DPF BlueMotion Technology,41900.0,165265,Schaltwagen,1395.0,Benzin,Rybnik,Śląskie,2014,10
