# ungefähr 20 % der Original-Daten 
# Quelle: https://www.kaggle.com/datasets/wspirat/poland-used-cars-offers/data
# nachbearbeitet
Marke,Modell,Preis [Zloty],Kilometerstand [km],Getriebe,Hubraum [cm3],Kraftstoff,Stadt,Region,Jahr,Alter
volvo,Volvo XC 60 D5 AWD Summum,79800.0,198200,Automatik,1969.0,Diesel,Wrocław,Dolnośląskie,2014,10
peugeot,Peugeot 605 3.0 SV,24900.0,177653,Schaltwagen,1587.0,Benzin,Leżajsk,Podkarpackie,1996,28
land-rover,Land Rover Discovery Sport 2.0 Si4 SE,115990.0,57920,Automatik,1999.0,Benzin,Konstancin-Jeziorna,Mazowieckie,2015,9
volkswagen,Volkswagen Polo 1.2 12V Sportline,24900.0,346000,Schaltwagen,1598.0,Diesel,Tczew,Pomorskie,2012,12
mercedes-benz,Mercedes-Benz ML 350 4-Matic,28000.0,451000,Automatik,2987.0,Diesel,Kostrzyn,Wielkopolskie,2009,15
nissan,Nissan Micra 0.9 IG-T BOSE Personal Edition,54500.0,81450,Schaltwagen,1598.0,Benzin,Radomsko,Łódzkie,2018,6
opel,Opel Zafira,39900.0,177000,Schaltwagen,1398.0,Benzin,Świdwin,Zachodniopomorskie,2014,10
kia,Kia Venga 1.6 CRDi 128 Dream-Team Edition,27000.0,94560,Schaltwagen,1582.0,Diesel,Żórawina,Dolnośląskie,2017,7
hyundai,Hyundai Tucson 2.0 CRDI Comfort 4WD,82900.0,98130,Schaltwagen,1368.0,Benzin,Wałbrzych,Dolnośląskie,2018,6
saab,Saab 9-5,9000.0,303000,Automatik,2290.0,Benzin+LPG,Skarżysko-Kamienna,Świętokrzyskie,2003,21
ford,Ford Kuga,104900.0,80793,Schaltwagen,1498.0,Diesel,Szczecin,Zachodniopomorskie,2018,6
honda,Honda CR-V 2.2i-DTEC Elegance Lifestyle,53000.0,187000,Schaltwagen,2199.0,Diesel,Kleczew,Wielkopolskie,2012,12
jeep,Jeep Grand Cherokee Gr 3.6 V6 Overland,112900.0,185000,Automatik,2987.0,Diesel,Radom,Mazowieckie,2012,12
porsche,Porsche Cayman GT4,600000.0,29362,Schaltwagen,3996.0,Benzin,Katowice,Śląskie,2019,5
bmw,BMW Seria 3 320d xDrive M Sport Shadow,137900.0,92250,Automatik,1995.0,Diesel,Mikołów,Śląskie,2019,5
mercedes-benz,Mercedes-Benz Sprinter,72599.0,360000,Automatik,2987.0,Diesel,Pabianice,Łódzkie,2006,18
volkswagen,Volkswagen Golf,18900.0,105245,Automatik,1984.0,Benzin,Turek,Wielkopolskie,2018,6
ford,Ford Fiesta 1.6 TDCi DPF Trend,17999.0,152010,Schaltwagen,1997.0,Diesel,Swarzędz,Wielkopolskie,2014,10
dacia,Dacia Sandero Stepway,54900.0,66797,Schaltwagen,1598.0,Benzin,Gliwice,Śląskie,2018,6
isuzu,Isuzu D-Max 1.9 DC LSX Prime,114900.0,269000,Automatik,2499.0,Diesel,Wołomin,Mazowieckie,2015,9
seat,Seat Ibiza 1.2 TSI Reference,26888.0,113119,Schaltwagen,1395.0,Benzin,Wilkowice,Wielkopolskie,2016,8
renault,Renault Modus 1.6 16V Privilege,8400.0,100300,Schaltwagen,1149.0,Benzin,Kiełczów,Dolnośląskie,2003,21
volkswagen,Volkswagen Tiguan 1.5 TSI EVO Comfortline DSG,102799.0,71070,Automatik,1498.0,Benzin,Łajski,Mazowieckie,2019,5
volvo,Volvo XC 70 3.2 AWD Momentum,46000.0,169000,Automatik,2400.0,Diesel,Kraków,Małopolskie,2007,17
citroen,Citroën C3 1.2 PureTech Shine,79900.0,8954,Schaltwagen,1199.0,Benzin,Rybnik,Śląskie,2022,2
toyota,Toyota Corolla,99500.0,26995,Automatik,1798.0,hybrid,Olsztyn,Warmińsko-mazurskie,2019,5
seat,Seat Ibiza 1.2 TSI FR,35999.0,206554,Schaltwagen,1598.0,Diesel,Gniezno,Wielkopolskie,2015,9
peugeot,Peugeot 508,61498.0,99000,Automatik,1560.0,Diesel,Bystrzyca,Dolnośląskie,2017,7
mercedes-benz,Mercedes-Benz Klasa R,39900.0,256000,Automatik,4966.0,Benzin+LPG,Sanok,Podkarpackie,2005,19
kia,Kia Sportage 2.7 V6 Escape,21000.0,238800,Automatik,2497.0,Diesel,Tomaszów Mazowiecki,Łódzkie,2006,18
volkswagen,Volkswagen Golf VII 1.4 TSI BMT Comfortline,57899.0,364000,Schaltwagen,1968.0,Diesel,Łódź,Łódzkie,2015,9
toyota,Toyota Auris 1.6 Active,61500.0,38900,Schaltwagen,1197.0,Benzin,Raszyn,Mazowieckie,2017,7
volkswagen,Volkswagen T-Roc,119400.0,28337,Schaltwagen,999.0,Benzin,Poznań,Wielkopolskie,2021,3
seat,Seat Leon,59900.0,47000,Schaltwagen,999.0,Benzin,Modlniczka,Małopolskie,2018,6
bmw,BMW Seria 5 535d xDrive,79950.0,171000,Automatik,1995.0,Diesel,Piła,Wielkopolskie,2013,11
jeep,Jeep Grand Cherokee,99000.0,229356,Automatik,2987.0,Diesel,Dobczyce,Małopolskie,2012,12
rover,Rover Streetwise,5555.0,101726,Schaltwagen,1588.0,Benzin,Wałbrzych,Dolnośląskie,2006,18
volvo,Volvo V50 T5 AWD Sport,20400.0,306699,Schaltwagen,1870.0,Diesel,Bielawa,Dolnośląskie,2004,20
peugeot,Peugeot 3008 1.2 PureTech Allure S&S EAT6,98900.0,106000,Automatik,1997.0,Diesel,Kalisz,Wielkopolskie,2019,5
opel,Opel Insignia 2.0 CDTI Elite S&S,79900.0,81000,Automatik,1998.0,Benzin,Jawornik,Małopolskie,2018,6
renault,Renault Kadjar 1.3 TCe FAP Intens,89990.0,5,Schaltwagen,1997.0,Diesel,Lubań,Dolnośląskie,2022,2
bmw,BMW X3,184900.0,146900,Automatik,1995.0,Diesel,Dobroń,Łódzkie,2017,7
jeep,Jeep Cherokee 2.2 MJD Active Drive II Limited,89900.0,61000,Automatik,3778.0,Benzin,Kraśnik,Lubelskie,2019,5
ford,Ford Focus 1.5 TDCi Trend,39900.0,135148,Schaltwagen,1997.0,Diesel,Wrocław,Dolnośląskie,2017,7
renault,Renault Scenic 1.6 dCi Energy Privilege S&S,14999.0,134861,Schaltwagen,1461.0,Diesel,Garwolin,Mazowieckie,2012,12
kia,Kia Ceed 1.5 T-GDI M,115900.0,10500,Schaltwagen,1598.0,Benzin,Kraków,Małopolskie,2022,2
ford,Ford Galaxy 2.0 Concept,29900.0,110000,Schaltwagen,3198.0,Diesel,Nowy Wiec,Pomorskie,2014,10
opel,Opel Corsa 1.7 DTI Comfort,4800.0,360812,Schaltwagen,1910.0,Diesel,Szychowo,Kujawsko-pomorskie,2004,20
mitsubishi,Mitsubishi Outlander,59900.0,117000,Automatik,1998.0,Benzin,Garwolin,Mazowieckie,2010,14
toyota,Toyota Avensis 2.0 D-4D Active,36500.0,211677,Schaltwagen,1998.0,Diesel,Zławieś Wielka,Kujawsko-pomorskie,2010,14
volkswagen,Volkswagen Golf Alltrack 2.0 TDI BMT 4Mot,49900.0,166000,Schaltwagen,1598.0,Diesel,Paczkowo,Wielkopolskie,2017,7
volvo,Volvo V60 D4 Summum,16900.0,178000,Schaltwagen,1560.0,Diesel,Krzeszowice,Małopolskie,2014,10
toyota,Toyota Auris 1.8 VVT-i Hybrid Automatik Edition-S,73900.0,151600,Automatik,1987.0,hybrid,Ropczyce,Podkarpackie,2019,5
toyota,Toyota Land Cruiser LC 2.8 D-4D Prado,279000.0,8,Automatik,2755.0,Diesel,Górno,Świętokrzyskie,2022,2
skoda,Skoda Karoq,54900.0,29854,Schaltwagen,1498.0,Benzin,Zagórów,Wielkopolskie,2021,3
opel,Opel Tigra 1.8 Sport,9300.0,256885,Schaltwagen,1248.0,Diesel,Bochnia,Małopolskie,2007,17
volkswagen,Volkswagen Tiguan,55000.0,69000,Schaltwagen,1598.0,Diesel,Zabrze,Śląskie,2014,10
nissan,Nissan Juke,36900.0,187000,Schaltwagen,1598.0,Diesel,Szczecin,Zachodniopomorskie,2012,12
bmw,BMW X3 xDrive28i,124900.0,100000,Automatik,2993.0,Diesel,Warszawa,Mazowieckie,2018,6
opel,Opel Corsa,21900.0,219877,Schaltwagen,1364.0,Benzin,Krzyszkowice,Małopolskie,2011,13
toyota,Toyota Auris,50900.0,114000,Schaltwagen,998.0,Benzin,Łajski,Mazowieckie,2014,10
opel,Opel Zafira Tourer 1.4 Turbo Edition,43500.0,179000,Schaltwagen,1598.0,Diesel,Śmigiel,Wielkopolskie,2018,6
citroen,Citroën C8,13530.0,320000,Automatik,1587.0,Benzin,Skwierzyna,Lubuskie,2004,20
hyundai,Hyundai ix35 1.7 CRDi Premium 2WD,44900.0,148000,Schaltwagen,1591.0,Benzin,Kielce,Świętokrzyskie,2011,13
mercedes-benz,Mercedes-Benz CL 500,59990.0,71000,Automatik,4966.0,Benzin,Międzyrzecz,Lubuskie,2003,21
opel,Opel Corsa 1.2 16V Cosmo,5800.0,137050,Schaltwagen,1364.0,Benzin,Trzęsówka,Podkarpackie,2005,19
volkswagen,Volkswagen Passat,2300.0,45800,Automatik,1781.0,Benzin,Słubice,Lubuskie,1997,27
volvo,Volvo XC 60 D4 Drive-E Momentum,79000.0,268000,Automatik,3192.0,Benzin,Warszawa,Mazowieckie,2012,12
toyota,Toyota Auris 1.6 Premium,63850.0,170000,Schaltwagen,1998.0,Diesel,Pępowo,Pomorskie,2015,9
honda,Honda HR-V 1.5 i-MMD Advance Style CVT,172900.0,28520,Automatik,1498.0,Benzin,Łódź,Łódzkie,2020,4
volkswagen,Volkswagen Golf,69900.0,101000,Schaltwagen,1197.0,Benzin,Kłodzko,Dolnośląskie,2015,9
volvo,Volvo XC 90 D5 AWD Inscription,124000.0,98500,Automatik,1969.0,Benzin,Tarnowo Podgórne,Wielkopolskie,2016,8
land-rover,Land Rover Freelander 1.8,10900.0,350000,Schaltwagen,2495.0,Diesel,Trzcianka,Wielkopolskie,2003,21
volvo,Volvo V90 D4 Momentum Pro,191900.0,4800,Automatik,1969.0,Benzin,Warszawa,Mazowieckie,2022,2
volkswagen,Volkswagen T-Roc,152990.0,10877,Automatik,1498.0,Benzin,Toruń,Kujawsko-pomorskie,2022,2
opel,Opel Insignia 1.6 CDTI Sports Tourer Innovation,58999.0,193050,Automatik,1956.0,Diesel,Ruda Śląska,Śląskie,2017,7
peugeot,Peugeot 5008,41900.0,194800,Automatik,1997.0,Diesel,Zielona Góra,Lubuskie,2016,8
mercedes-benz,Mercedes-Benz GLA 200 (CDI) d 4Matic 7G-DCT AMG Line,69500.0,240000,Automatik,2987.0,Diesel,Płock,Mazowieckie,2016,8
ford,Ford Fiesta 1.0 EcoBoost Champions Edition,23500.0,199000,Schaltwagen,1596.0,Benzin,Zakrzew,Lubelskie,2011,13
seat,Seat Ibiza 1.2 TSI Style,15900.0,84523,Schaltwagen,1798.0,Benzin,Ostrów Wielkopolski,Wielkopolskie,2016,8
bmw,BMW Seria 5 530i,96000.0,109000,Automatik,2993.0,Diesel,Konstancin-Jeziorna,Mazowieckie,2018,6
bmw,BMW Seria 5 525d xDrive Touring,58500.0,170850,Automatik,1995.0,Diesel,Kościerzyna,Pomorskie,2014,10
seat,Seat Ateca 2.0 TDI Xcellence S&S 4Drive,91900.0,62940,Schaltwagen,999.0,Benzin,Olsztyn,Warmińsko-mazurskie,2018,6
bmw,BMW X5 xDrive30d,139000.0,155000,Automatik,1499.0,hybrid,Czartajew,Podlaskie,2017,7
toyota,Toyota Yaris Hybrid 100 Premium EU6,53900.0,97300,Automatik,2494.0,hybrid,Siechnice,Dolnośląskie,2017,7
peugeot,Peugeot Partner,44900.0,89000,Schaltwagen,1560.0,Diesel,Katowice,Śląskie,2017,7
opel,Opel Corsa,14999.0,282669,Schaltwagen,1910.0,Diesel,Kisielice,Warmińsko-mazurskie,2005,19
bmw,BMW Seria 5 520d Luxury Line,62999.0,47000,Automatik,2998.0,Benzin,Ratno Dolne,Dolnośląskie,2019,5
opel,Opel Corsa 1.3 CDTI Cosmo EcoFLEX S&S,31000.0,138695,Schaltwagen,1598.0,Diesel,Warszawa,Mazowieckie,2019,5
renault,Renault Megane,61000.0,102367,Schaltwagen,1332.0,Benzin,Katowice,Śląskie,2019,5
opel,Opel Insignia 2.0 CDTI Cosmo,22500.0,227000,Schaltwagen,1956.0,Diesel,Chrzanów,Małopolskie,2012,12
bmw,BMW X6 xDrive30d,175000.0,261169,Automatik,1995.0,Diesel,Trzebnica,Dolnośląskie,2017,7
toyota,Toyota Verso,27000.0,128000,Schaltwagen,1329.0,Benzin,Rogoźno,Wielkopolskie,2010,14
bmw,BMW Seria 4 440i xDrive M Sport sport,174900.0,329122,Automatik,2993.0,Diesel,Wrocław,Dolnośląskie,2015,9
volvo,Volvo S60,194900.0,45200,Automatik,1969.0,Diesel,Szczecin,Zachodniopomorskie,2021,3
honda,Honda Civic 2.2i-CTDi DPF Executive,18999.0,181116,Schaltwagen,2204.0,Diesel,Nowy Sącz,Małopolskie,2010,14
jeep,Jeep Grand Cherokee,119900.0,87401,Automatik,1956.0,Diesel,Rumia,Pomorskie,2019,5
volvo,Volvo V50 2.0 Sport,16999.0,209000,Schaltwagen,1798.0,Benzin,Ryki,Lubelskie,2009,15
opel,Opel Zafira 1.8 Cosmo,20000.0,315000,Schaltwagen,1910.0,Diesel,Strzegom,Dolnośląskie,2005,19
toyota,Toyota Auris 1.2 T Selection,60500.0,59695,Schaltwagen,1197.0,Benzin,Nadolice Wielkie,Dolnośląskie,2016,8
bmw,BMW Seria 3 318d Sport Line Shadow,92999.0,29000,Automatik,2993.0,Benzin,Torzym,Lubuskie,2019,5
volvo,Volvo V90 Cross Country D4 AWD,106500.0,300000,Automatik,1560.0,Diesel,Warszawa,Mazowieckie,2015,9
ford,Ford Kuga,42900.0,130700,Schaltwagen,1596.0,Benzin,Katowice,Śląskie,2011,13
honda,Honda Odyssey 3.5 LX,37000.0,169400,Automatik,2354.0,Benzin+LPG,Szczyrk,Śląskie,2008,16
renault,Renault Clio,37999.0,30150,Schaltwagen,1333.0,Benzin,Kisielice,Warmińsko-mazurskie,2019,5
renault,Renault Laguna 2.0 dCi Tech Run,23500.0,231000,Schaltwagen,1461.0,Diesel,Warta,Łódzkie,2011,13
opel,Opel Astra IV 2.0 CDTI Enjoy,21900.0,306000,Schaltwagen,1956.0,Diesel,Kolonia Waszulki,Warmińsko-mazurskie,2010,14
ford,Ford Mondeo,35000.0,183164,Automatik,1997.0,Diesel,Siedlce,Mazowieckie,2012,12
hyundai,Hyundai Elantra 1.6 Executive,114900.0,49000,Schaltwagen,1197.0,Benzin,Ustowo,Zachodniopomorskie,2021,3
porsche,Porsche Cayenne Turbo S,88900.0,48000,Automatik,3596.0,Benzin,Kiedrzyn,Mazowieckie,2007,17
bmw,BMW Seria 3,79900.0,160728,Automatik,2979.0,Benzin,Garwolin,Mazowieckie,2013,11
alfa-romeo,Alfa Romeo 159,17900.0,130000,Automatik,2198.0,Benzin,Chodzież,Wielkopolskie,2008,16
kia,Kia Sportage 2.0,16500.0,198113,Schaltwagen,1998.0,Benzin,Chojnice,Pomorskie,1997,27
volkswagen,Volkswagen Touran 1.6 TDI DPF BlueMotion Technology Life,39700.0,176000,Schaltwagen,1390.0,Benzin,Swarzędz,Wielkopolskie,2012,12
volkswagen,Volkswagen Multivan 2.0 BiTDI L1 Highline 4Motion DSG,159999.0,138549,Automatik,1968.0,Diesel,Dobroszyce,Dolnośląskie,2016,8
volkswagen,Volkswagen Multivan,65000.0,247740,Automatik,1968.0,Diesel,Wrocław,Dolnośląskie,2008,16
volkswagen,Volkswagen Polo 1.2 Trendline,16900.0,247000,Schaltwagen,1390.0,Benzin,Lublin,Lubelskie,2009,15
peugeot,Peugeot 308 1.6 e-HDi Access S&S,29900.0,97800,Schaltwagen,1499.0,Diesel,Kutno,Łódzkie,2019,5
opel,Opel Vivaro,39999.0,92500,Automatik,1956.0,Diesel,Świebodzin,Lubuskie,2010,14
mercedes-benz,Mercedes-Benz CLA AMG 45 S 4-Matic 8G-DCT,339900.0,12900,Automatik,1332.0,Benzin,Mrowiny,Dolnośląskie,2021,3
seat,Seat Leon 1.4 TSI FR S&S,64000.0,84000,Schaltwagen,999.0,Benzin,Wrocław,Dolnośląskie,2019,5
opel,Opel Insignia,24700.0,178500,Schaltwagen,1956.0,Diesel,Kobyłka,Mazowieckie,2013,11
mercedes-benz,Mercedes-Benz SL 500,33300.0,440000,Automatik,2151.0,Diesel,Warszawa,Mazowieckie,2003,21
citroen,Citroën Berlingo II 1.6i Multispace,17300.0,250000,Schaltwagen,1560.0,Diesel,Sandomierz,Świętokrzyskie,2008,16
ford,Ford Focus,36000.0,59000,Schaltwagen,998.0,Benzin,Zabrze,Śląskie,2018,6
dodge,Dodge Journey 2.0 CRD SE,23900.0,282000,Schaltwagen,1798.0,Benzin+LPG,Zawiercie,Śląskie,2009,15
bmw,BMW X6 xDrive40d,165000.0,70100,Automatik,2979.0,Benzin,Częstochowa,Śląskie,2019,5
land-rover,Land Rover Discovery Sport 2.0 Si4 SE,85000.0,149880,Automatik,2993.0,Diesel,Drzewica,Łódzkie,2015,9
opel,Opel Meriva 1.6 Cosmo,12850.0,260000,Schaltwagen,1686.0,Diesel,Bielsko-Biała,Śląskie,2008,16
opel,Opel Zafira 1.8 16V Elegance,9400.0,137105,Schaltwagen,973.0,Benzin,Chełm,Lubelskie,2000,24
opel,Opel Combo,32400.0,198000,Schaltwagen,1956.0,Diesel,Żerków,Wielkopolskie,2016,8
honda,Honda Civic 1.4 Comfort,19500.0,19000,Schaltwagen,1339.0,Benzin,Wola Jachowa,Świętokrzyskie,2008,16
toyota,Toyota C-HR 1.8 Hybrid Selection,122000.0,34000,Automatik,1798.0,hybrid,Lipno,Kujawsko-pomorskie,2018,6
peugeot,Peugeot 308 SW 1.2 PureTech Allure S&S,61900.0,220070,Schaltwagen,1560.0,Diesel,Rzuchów,Śląskie,2017,7
volvo,Volvo XC 60,174900.0,1,Automatik,1969.0,Diesel,Gdynia,Pomorskie,2023,1
renault,Renault Megane ENERGY TCe 130 Start & Stop Bose Edition,35900.0,109866,Schaltwagen,1461.0,Diesel,Rawa Mazowiecka,Łódzkie,2010,14
jeep,Jeep Cherokee 2.0 GME Active Drive I Limited,95500.0,149000,Automatik,2987.0,Diesel,Lubartów,Lubelskie,2016,8
opel,Opel Corsa 1.4 Enjoy,37900.0,218000,Schaltwagen,1598.0,Diesel,Środa Śląska,Dolnośląskie,2016,8
volkswagen,Volkswagen Polo 1.8T GTI,19900.0,176162,Schaltwagen,1198.0,Benzin,Warszawa,Mazowieckie,2006,18
ford,Ford Fiesta,22900.0,169000,Schaltwagen,1596.0,Benzin,Niepołomice,Małopolskie,2012,12
honda,Honda Civic 1.4 Comfort,16499.0,275000,Schaltwagen,2199.0,Diesel,Pawłowo,Wielkopolskie,2008,16
opel,Opel Corsa 1.4 16V Enjoy,17500.0,131000,Schaltwagen,1364.0,Benzin+LPG,Gdańsk,Pomorskie,2010,14
rover,Rover 25 1.4 Basic,2250.0,253000,Schaltwagen,1396.0,Benzin,Ostrów Wielkopolski,Wielkopolskie,2000,24
renault,Renault Kangoo 1.5 dCi Techno,129900.0,5,Schaltwagen,1332.0,Benzin,Gdańsk,Pomorskie,2023,1
volkswagen,Volkswagen Sharan 2.0 TDI DSG BlueMotion Technology Comfortline,46200.0,146942,Automatik,1968.0,Diesel,Lubań,Dolnośląskie,2013,11
renault,Renault Clio 1.2 16V 75 Limited,43800.0,49805,Schaltwagen,1197.0,Benzin,Jamnica,Podkarpackie,2017,7
ford,Ford S-Max 2.0 TDCi Titanium,20900.0,173000,Schaltwagen,1997.0,Diesel,Tomaszów Lubelski,Lubelskie,2007,17
ford,Ford B-MAX,29400.0,188000,Schaltwagen,1997.0,Diesel,Poznań,Wielkopolskie,2013,11
citroen,Citroën Saxo 1.1 SX,6400.0,218000,Schaltwagen,1998.0,Benzin,Rudawa,Małopolskie,1998,26
hyundai,Hyundai i40 1.7 CRDi Style,33800.0,115000,Schaltwagen,1396.0,Benzin,Tarnów,Małopolskie,2011,13
mercedes-benz,Mercedes-Benz Klasa E 320 CDI Classic,22900.0,283000,Automatik,2143.0,Diesel,Czchów,Małopolskie,2009,15
nissan,Nissan Micra 1.5 dCi Visia +,2999.0,128455,Schaltwagen,1997.0,Benzin,Lubin,Dolnośląskie,2009,15
volkswagen,Volkswagen Golf GTI BlueMotion Technology,59900.0,59300,Schaltwagen,1390.0,Benzin,Radom,Mazowieckie,2012,12
opel,Opel Corsa,15990.0,269300,Schaltwagen,1910.0,Diesel,Chechło,Małopolskie,2008,16
volkswagen,Volkswagen Transporter,88560.0,229000,Schaltwagen,1968.0,Diesel,Jadwisin,Dolnośląskie,2015,9
toyota,Toyota Camry,155600.0,81000,Automatik,1798.0,hybrid,Lubin,Dolnośląskie,2020,4
jeep,Jeep Compass 2.2 CRD 4x4 Limited,35999.0,90700,Schaltwagen,1368.0,Benzin,Brzozów,Podkarpackie,2014,10
volvo,Volvo XC 40 D4 AWD,119500.0,119000,Automatik,1969.0,Benzin,Płock,Mazowieckie,2018,6
ford,Ford Tourneo Courier 1.0 EcoBoost Ambiente,29999.0,74550,Schaltwagen,999.0,Benzin,Kostrzyn,Wielkopolskie,2018,6
opel,Opel Corsa 1.4 16V 111,15900.0,181351,Schaltwagen,1796.0,Benzin,Bydgoszcz,Kujawsko-pomorskie,2010,14
nissan,Nissan X-Trail 1.6 DCi ALL-MODE 4x4i 360,59999.0,99500,Schaltwagen,898.0,Benzin,Nowy Sącz,Małopolskie,2017,7
ford,Ford Focus 1.0 EcoBoost Titanium,134400.0,187000,Schaltwagen,1498.0,Diesel,Wrocław,Dolnośląskie,2020,4
toyota,Toyota C-HR,152850.0,15000,Automatik,1798.0,hybrid,Modlnica,Małopolskie,2021,3
nissan,Nissan Juke,30950.0,188913,Schaltwagen,1198.0,Benzin,Łask,Łódzkie,2011,13
mercedes-benz,Mercedes-Benz Klasa E 220 d 9G-TRONIC,157500.0,118224,Automatik,1991.0,Benzin,Koźmin Wielkopolski,Wielkopolskie,2019,5
volkswagen,Volkswagen Passat 2.0 TDI SCR Highline,69900.0,289900,Schaltwagen,1968.0,Diesel,Konin,Wielkopolskie,2014,10
dodge,Dodge Journey,23900.0,204512,Schaltwagen,1798.0,Benzin+LPG,Staszów,Świętokrzyskie,2008,16
volkswagen,Volkswagen Golf VII 2.0 TSI BMT GTI DSG,65555.0,77541,Automatik,1984.0,Benzin,Nysa,Opolskie,2017,7
volvo,Volvo 850 2.5 GLE,14500.0,276000,Schaltwagen,1984.0,Benzin,Orzelec,Lubuskie,1999,25
mercedes-benz,Mercedes-Benz Klasa A 35 AMG 4-Matic 7G-DCT,175000.0,105000,Automatik,2987.0,Diesel,Katowice,Śląskie,2017,7
bmw,BMW X3 xDrive30d M Sport sport,81590.0,206000,Automatik,2979.0,Benzin,Łask,Łódzkie,2012,12
volkswagen,Volkswagen Scirocco 1.4 TSI DSG,21900.0,228000,Automatik,1390.0,Benzin,Orchowo,Wielkopolskie,2006,18
volvo,Volvo S90,193110.0,54200,Automatik,1969.0,hybrid,Gdańsk,Pomorskie,2018,6
mercedes-benz,Mercedes-Benz Klasa E,179899.0,220000,Automatik,2987.0,Diesel,Katowice,Śląskie,2016,8
volkswagen,Volkswagen Polo 1.4 TDI Basis,6799.0,140000,Schaltwagen,1198.0,Benzin,Świnoujście,Zachodniopomorskie,2007,17
bmw,BMW Seria 1,99900.0,28717,Schaltwagen,1496.0,Diesel,Piaseczno,Mazowieckie,2020,4
renault,Renault Clio,48900.0,38657,Schaltwagen,1461.0,Diesel,Gliwice,Śląskie,2018,6
bmw,BMW Seria 1 120d xDrive,99900.0,195000,Automatik,2993.0,Diesel,Mikołów,Śląskie,2019,5
mercedes-benz,Mercedes-Benz ML 350 BlueTec 4-Matic,142900.0,209000,Automatik,2987.0,Diesel,Warszawa,Mazowieckie,2014,10
citroen,Citroën C5 Aircross,37700.0,31000,Schaltwagen,1199.0,Benzin,Brodnica,Wielkopolskie,2020,4
bmw,BMW X3 xDrive30d,109900.0,204300,Automatik,1995.0,Diesel,Stoczek Łukowski,Lubelskie,2017,7
renault,Renault Master,119310.0,10000,Schaltwagen,999.0,Benzin,Bolesławiec,Dolnośląskie,2022,2
mercedes-benz,Mercedes-Benz Klasa S 320,15900.0,233000,Automatik,5439.0,Benzin,Leszno,Wielkopolskie,2003,21
toyota,Toyota Prius (Hybrid) Sol,22900.0,281691,Automatik,4164.0,Diesel,Lublin,Lubelskie,2004,20
volkswagen,Volkswagen Polo,13999.0,260000,Schaltwagen,1900.0,Diesel,Gniezno,Wielkopolskie,2005,19
peugeot,Peugeot 308,47900.0,78526,Schaltwagen,1560.0,Diesel,Puławy,Lubelskie,2016,8
hyundai,Hyundai Tucson,95000.0,100750,Schaltwagen,1248.0,Benzin,Gdańsk,Pomorskie,2015,9
bmw,BMW X4 xDrive30i mHEV M Sport sport,385500.0,5,Automatik,1998.0,Benzin,Bydgoszcz,Kujawsko-pomorskie,2023,1
renault,Renault Captur,54700.0,106400,Schaltwagen,1200.0,Benzin,Mielec,Podkarpackie,2016,8
peugeot,Peugeot 208 1.2 PureTech GT Pack S&S EAT8,115900.0,2,Automatik,1199.0,Benzin,Sosnowiec,Śląskie,2022,2
peugeot,Peugeot 508 2.0 BlueHDi Allure S&S EAT8,94990.0,230000,Automatik,1997.0,Diesel,Legnica,Dolnośląskie,2015,9
bmw,BMW X5 M,269000.0,192500,Automatik,1995.0,Diesel,Kraków,Małopolskie,2017,7
ford,Ford EcoSport,48999.0,96000,Schaltwagen,1242.0,Benzin,Kąty Opolskie,Opolskie,2012,12
nissan,Nissan Qashqai 1.5 dCi Acenta,30800.0,198959,Schaltwagen,1600.0,Benzin,Kraków,Małopolskie,2011,13
mercedes-benz,Mercedes-Benz Klasa C 300 d T 4Matic 9G-TRONIC AMG Line,169000.0,101000,Automatik,3982.0,Benzin,Dąbrowa,Wielkopolskie,2018,6
toyota,Toyota Camry,139999.0,93500,Automatik,2393.0,Diesel,Wałcz,Zachodniopomorskie,2020,4
volkswagen,Volkswagen Passat 2.0 TDI Comfortline,18900.0,187000,Schaltwagen,1390.0,Benzin,Wrąbczynkowskie Holendry,Wielkopolskie,2005,19
skoda,Skoda Octavia,21900.0,302007,Automatik,1968.0,Diesel,Warszawa,Mazowieckie,2011,13
seat,Seat Ibiza,25900.0,63200,Schaltwagen,1000.0,Benzin,Dąbrowa Górnicza,Śląskie,2017,7
jeep,Jeep Wrangler Unlimited 3.8 Sahara,89000.0,165456,Schaltwagen,2359.0,Benzin+LPG,Wrocław,Dolnośląskie,2007,17
nissan,Nissan Patrol 3.0 DiT LE,97000.0,150000,Schaltwagen,1240.0,Benzin,Brzesko,Małopolskie,2004,20
volkswagen,Volkswagen Touran 2.0 TDI BMT Trendline,64900.0,163000,Schaltwagen,1968.0,Diesel,Krotoszyn,Wielkopolskie,2019,5
peugeot,Peugeot 5008 1.6 THP Family 7os,29999.0,213000,Schaltwagen,1560.0,Diesel,Żywocice,Opolskie,2014,10
ford,Ford Focus 1.6 16V Concept,18000.0,330000,Schaltwagen,1997.0,Diesel,Warszawa,Mazowieckie,2013,11
opel,Opel Mokka 1.7 CDTI Cosmo S&S 4x4,39000.0,210000,Schaltwagen,1364.0,Benzin,Piła,Wielkopolskie,2011,13
opel,Opel Corsa 1.4 Edition,39900.0,161000,Schaltwagen,1598.0,Diesel,Gorzyce,Śląskie,2015,9
ford,Ford Focus 1.6 TDCi Titanium,27900.0,189000,Schaltwagen,1560.0,Diesel,Sosnowiec,Śląskie,2011,13
